COP_x;COP_y;Acc_x;Acc_y;Jerk_x;Jerk_y;Class
0,599617464;0,377659499;0,455069283;0,249407384;0,355787962;0,270673631;Healthy
0,606318887;0,374915189;0,414922028;0,235374354;0,329289875;0,25692613;Healthy
0,61664643;0,373314022;0,431158775;0,215505955;0,281685095;0,233393409;Healthy
0,634760967;0,373561155;0,376843516;0,241712535;0,304902419;0,218760658;Healthy
0,656637047;0,374772301;0,294757824;0,229321373;0,288576648;0,236535532;Healthy
0,681838453;0,377017893;0,338727221;0,233630249;0,27914955;0,299251794;Healthy
0,711150656;0,377925928;0,335044699;0,313356059;0,337060792;0,355854758;Healthy
0,744300672;0,377525464;0,343062738;0,267326357;0,305515574;0,268252627;Healthy
0,779520208;0,374123306;0,410192903;0,208789438;0,303273381;0,227465141;Healthy
0,813959689;0,367428211;0,459930935;0,233661955;0,308534824;0,221486439;Healthy
0,846622188;0,359357764;0,488729444;0,243740522;0,361395044;0,232051764;Healthy
0,879657954;0,349973792;0,520683153;0,192493542;0,351083426;0,271148226;Healthy
0,910582562;0,340103107;0,540343523;0,24783064;0,318422029;0,29097569;Healthy
0,936610189;0,331179439;0,465675953;0,215364572;0,377796775;0,220771193;Healthy
0,958941474;0,322910637;0,376995033;0,215646426;0,345933526;0,242315558;Healthy
0,980645606;0,315903411;0,388719214;0,240477507;0,347270725;0,26970968;Healthy
1,003185753;0,31037169;0,523552896;0,230887756;0,296177945;0,257108212;Healthy
1,025309887;0,305780745;0,627984133;0,241899983;0,385161052;0,235759316;Healthy
1,041748967;0,302599817;0,751769261;0,273672218;0,370487027;0,276433693;Healthy
1,050027097;0,299363432;0,80625732;0,287094568;0,400804258;0,231068916;Healthy
1,046921992;0,295031917;0,604346868;0,270601906;0,418174177;0,243291422;Healthy
1,033068059;0,289098876;0,447281054;0,274314762;0,329734155;0,229581522;Healthy
1,01081225;0,283011181;0,450984998;0,342949298;0,353413883;0,264051164;Healthy
0,983397733;0,277772115;0,498192088;0,26090772;0,346212603;0,25933601;Healthy
0,954480537;0,274269457;0,558716468;0,242705776;0,54408733;0,276918996;Healthy
0,925860582;0,274357551;0,853775737;0,279831325;0,319334607;0,302052407;Healthy
0,892968987;0,279684823;0,71158218;0,25074301;0,423065733;0,228695667;Healthy
0,84313957;0,288903401;0,535214305;0,287711028;0,375845343;0,234275825;Healthy
0,782541387;0,300518829;0,538968896;0,355807809;0,338197697;0,310797123;Healthy
0,721288378;0,310894861;0,625779598;0,421359535;0,538859228;0,248314584;Healthy
0,665728755;0,318570291;0,504637588;0,360311487;0,606406829;0,234260747;Healthy
0,61704593;0,322132344;0,787929698;0,385505623;0,307505982;0,283482581;Healthy
0,586146669;0,322726453;0,759881719;0,268526362;0,422779462;0,272588753;Healthy
0,573007462;0,322170495;0,574799542;0,252351438;0,351402395;0,239361901;Healthy
0,569810189;0,324602118;0,542106313;0,276096553;0,313388413;0,281948812;Healthy
0,568492637;0,330654396;0,59046802;0,246086681;0,333498457;0,290755356;Healthy
