COP_x;COP_y;Acc_x;Acc_y;Jerk_x;Jerk_y;Class
0,283041954;0,099945057;0,272042101;0,122750823;0,37594671;0,19424834;Healthy
0,285306987;0,108394553;0,25491372;0,13636131;0,218696643;0,186909408;Healthy
0,289269997;0,117928326;0,332634183;0,137417478;0,41422618;0,216489741;Healthy
0,295857619;0,124904344;0,515413356;0,197143821;0,402919515;0,223719265;Healthy
0,299480549;0,133400686;0,441905143;0,184761908;0,449360622;0,245918953;Healthy
0,296809299;0,140856324;0,60915178;0,139265089;0,511908612;0,252399491;Healthy
0,290111123;0,148628658;0,325047134;0,142352013;0,450478428;0,239847847;Healthy
0,281313606;0,155743335;0,517623384;0,149617928;0,313989737;0,256087682;Healthy
0,274264382;0,164070589;0,330891259;0,139877619;0,633762009;0,324215121;Healthy
0,272663398;0,175671299;0,590905524;0,283951437;0,305641181;0,27008549;Healthy
0,278999973;0,186251457;0,495416968;0,115862929;0,255750359;0,194658792;Healthy
0,281771597;0,189917269;0,306470456;0,139189942;0,233695394;0,277062767;Healthy
0,281035421;0,191853145;0,19819125;0,189422163;0,235868939;0,179297549;Healthy
0,28117634;0,193942875;0,305116955;0,148219208;0,258206437;0,1863832;Healthy
0,286088875;0,191676617;0,427747609;0,17432018;0,313761135;0,191426763;Healthy
0,292652177;0,185912024;0,389735516;0,113352579;0,333223998;0,203289784;Healthy
0,29987188;0,17692813;0,375162884;0,145399392;0,207959085;0,169067552;Healthy
0,30665595;0,166839024;0,382571282;0,138256672;0,133832342;0,1723433;Healthy
0,312076593;0,155407417;0,372836134;0,092779803;0,262033329;0,130737929;Healthy
0,314107672;0,142379974;0,298219508;0,101071297;0,167469614;0,173714257;Healthy
0,310372093;0,130458943;0,189046016;0,149498492;0,281433886;0,223239478;Healthy
0,30214427;0,121869364;0,280420659;0,124777402;0,186838031;0,268894404;Healthy
0,291661847;0,115538216;0,180044234;0,175740098;0,134023486;0,310696707;Healthy
0,282055489;0,113619674;0,138215987;0,237640529;0,144824977;0,358122642;Healthy
0,275850917;0,112642092;0,211918274;0,180030233;0,186962511;0,153849247;Healthy
0,27518452;0,112912358;0,253320945;0,122224653;0,105542139;0,138940424;Healthy
0,278358566;0,11393184;0,216502954;0,06198067;0,313989235;0,119266755;Healthy
0,282392789;0,114211898;0,299857641;0,125181764;0,200516324;0,136556955;Healthy
0,288437296;0,117641521;0,173221702;0,112427359;0,327586618;0,168855354;Healthy
0,293037724;0,12183477;0,257063305;0,125853159;0,169694132;0,253112705;Healthy
0,298441582;0,126868851;0,224743952;0,165678574;0,250089135;0,226243289;Healthy
0,303146327;0,133531672;0,221650216;0,213869777;0,172679275;0,172534063;Healthy
0,308611345;0,137672561;0,280775648;0,175632401;0,356961099;0,184751475;Healthy
0,314235309;0,13928555;0,399287376;0,122000555;0,294899226;0,199548731;Healthy
